fecha;jugador;puntos;cartas;oros;sietes;escobas;velo;resultado
2026-05-25 11:47:51;Dani;1;7;3;2;0;SI;EMPATE
2026-05-25 11:47:51;CPU1;1;16;3;0;0;NO;EMPATE
2026-05-25 11:47:51;CPU2;1;13;3;2;1;NO;EMPATE
2026-05-25 11:47:51;CPU3;0;4;1;0;0;NO;EMPATE

2026-05-25 11:48:28;Dani;0;9;0;1;0;NO;PERDEDOR
2026-05-25 11:48:28;CPU1;0;5;1;1;0;NO;PERDEDOR
2026-05-25 11:48:28;CPU2;3;18;6;1;1;NO;GANADOR
2026-05-25 11:48:28;CPU3;2;8;3;1;1;SI;PERDEDOR

2026-05-25 12:45:55;Dani;0;6;1;0;0;NO;PERDEDOR
2026-05-25 12:45:55;CPU1;1;7;2;2;0;SI;PERDEDOR
2026-05-25 12:45:55;CPU2;3;21;6;2;1;NO;GANADOR
2026-05-25 12:45:55;CPU3;0;6;1;0;0;NO;PERDEDOR

2026-05-25 12:46:07;Dani;1;7;3;2;0;SI;PERDEDOR
2026-05-25 12:46:07;CPU1;3;15;2;2;2;NO;GANADOR
2026-05-25 12:46:07;CPU2;0;5;3;0;0;NO;PERDEDOR
2026-05-25 12:46:07;CPU3;2;13;2;0;2;NO;PERDEDOR

2026-05-25 12:46:09;Dani;3;9;2;2;1;SI;EMPATE
2026-05-25 12:46:09;CPU1;3;21;5;1;1;NO;EMPATE
2026-05-25 12:46:09;CPU2;0;3;0;1;0;NO;EMPATE
2026-05-25 12:46:09;CPU3;0;7;3;0;0;NO;EMPATE

2026-05-25 12:46:14;Dani;1;9;2;0;1;NO;PERDEDOR
2026-05-25 12:46:14;CPU1;0;6;2;0;0;NO;PERDEDOR
2026-05-25 12:46:14;CPU2;0;10;3;1;0;NO;PERDEDOR
2026-05-25 12:46:14;CPU3;4;15;3;3;1;SI;GANADOR

2026-05-25 12:46:19;Dani;0;6;2;0;0;NO;PERDEDOR
2026-05-25 12:46:19;CPU1;6;17;4;1;3;SI;GANADOR
2026-05-25 12:46:19;CPU2;0;7;2;0;0;NO;PERDEDOR
2026-05-25 12:46:19;CPU3;2;10;2;3;1;NO;PERDEDOR

2026-05-25 12:46:27;Dani;1;11;3;0;1;NO;PERDEDOR
2026-05-25 12:46:27;CPU1;4;12;4;2;1;SI;GANADOR
2026-05-25 12:46:27;CPU2;0;6;2;0;0;NO;PERDEDOR
2026-05-25 12:46:27;CPU3;0;11;1;2;0;NO;PERDEDOR

2026-05-25 12:52:19;Dani;4;17;6;2;0;SI;GANADOR
2026-05-25 12:52:19;CPU1;0;9;2;1;0;NO;PERDEDOR
2026-05-25 12:52:19;CPU2;1;12;2;1;1;NO;PERDEDOR
2026-05-25 12:52:19;CPU3;0;2;0;0;0;NO;PERDEDOR

2026-05-25 12:52:27;Dani;0;3;0;0;0;NO;PERDEDOR
2026-05-25 12:52:27;CPU1;0;14;3;1;0;NO;PERDEDOR
2026-05-25 12:52:27;CPU2;1;5;1;0;1;NO;PERDEDOR
2026-05-25 12:52:27;CPU3;6;18;6;3;2;SI;GANADOR

2026-05-25 12:53:11;Dani;1;8;4;0;0;NO;PERDEDOR
2026-05-25 12:53:11;CPU1;0;9;2;1;0;NO;PERDEDOR
2026-05-25 12:53:11;CPU2;0;9;1;1;0;NO;PERDEDOR
2026-05-25 12:53:11;CPU3;3;14;3;2;0;SI;GANADOR

2026-05-25 12:53:28;Dani;1;8;3;1;0;SI;PERDEDOR
2026-05-25 12:53:28;CPU1;0;6;3;0;0;NO;PERDEDOR
2026-05-25 12:53:28;CPU2;1;9;1;0;1;NO;PERDEDOR
2026-05-25 12:53:28;CPU3;3;17;3;3;1;NO;GANADOR

2026-05-25 12:53:36;Dani;0;4;1;0;0;NO;PERDEDOR
2026-05-25 12:53:36;CPU1;1;5;0;1;1;NO;PERDEDOR
2026-05-25 12:53:36;CPU2;4;19;7;3;0;SI;GANADOR
2026-05-25 12:53:36;CPU3;2;12;2;0;2;NO;PERDEDOR

2026-05-25 12:53:43;Dani;0;2;1;0;0;NO;PERDEDOR
2026-05-25 12:53:43;CPU1;2;15;2;1;2;NO;PERDEDOR
2026-05-25 12:53:43;CPU2;2;4;2;2;0;SI;PERDEDOR
2026-05-25 12:53:43;CPU3;3;19;5;1;1;NO;GANADOR

2026-05-25 12:53:50;Dani;0;4;1;0;0;NO;PERDEDOR
2026-05-25 12:53:50;CPU1;3;10;4;1;1;SI;PERDEDOR
2026-05-25 12:53:50;CPU2;1;12;2;1;1;NO;PERDEDOR
2026-05-25 12:53:50;CPU3;5;14;3;2;3;NO;GANADOR

2026-05-30 14:54:39;Pepe;0;0;0;0;0;NO;EMPATE
2026-05-30 14:54:39;CPU1;0;0;0;0;0;NO;EMPATE

2026-05-30 15:29:36;Pepe;0;0;0;0;0;NO;EMPATE
2026-05-30 15:29:36;CPU1;0;0;0;0;0;NO;EMPATE

2026-05-30 15:32:32;Pepe;0;0;0;0;0;NO;EMPATE
2026-05-30 15:32:32;CPU1;0;0;0;0;0;NO;EMPATE

2026-05-30 15:47:05;Pepe;0;0;0;0;0;NO;EMPATE
2026-05-30 15:47:05;CPU1;0;0;0;0;0;NO;EMPATE

2026-05-30 18:29:00;Pepe;0;0;0;0;0;NO;EMPATE
2026-05-30 18:29:00;CPU1;0;0;0;0;0;NO;EMPATE
